"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"B1";"1.8-5V";"BATTERY";"JSTPH2";"CR1220 SMT - Digikey: 3001K-ND";"";"";
"C1";"10uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";
"C2";"22uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";
"C3";"10uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";
"C4";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";
"C5";"2.2uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";
"C6";"100uF/6V";"CAP_TANTALUMB/3528_REFLOW";"EIA3528-21/B-R";"Tantalum Capacitors";"";"";
"C7";"10uF";"10UF-TANT";"EIA3216";"10uF Tantalum SMT";"CAP-00811";"10uF";
"C8";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";
"C9";"10nF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";
"C10";"10uF";"10UF-TANT";"EIA3216";"10uF Tantalum SMT";"CAP-00811";"10uF";
"C11";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";
"C12";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";
"C13";"10uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";
"C14";"4.7uF";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";"";
"C15";"10µF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";
"D1";"SMAJ5.0CALFDKR-ND";"SMAJ5.0CALFDKR-ND";"DO-214AC";"";"";"";
"D2";"RED";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";"";
"IC1";"CP2104";"CP2104";"QFN24_4MM_SMSC";"CP2104 - USB to UART Bridge";"";"";
"J1";"1X02";"1X02";"1X02";"";"";"";
"J2";"2X12";"2X12";"2X12";"2x12 Pin header connector";"";"";
"J3";"";"MOLEX_IGRID_15X2CONNECTOR";"MOLEX_IGRID15X2CONNECTOR";"";"";"";
"J4";"2X06";"2X06";"2X06";"2x06 Pin Header connector";"";"";
"J5";"1X02";"1X02";"1X02";"";"";"";
"J6";"microUSB";"USBMICRO_20329";"4UCONN_20329";"USB Connectors";"";"";
"L1";"2.2uH/NRH2412T2R2MNGH";"INDUCTORNRH2412T";"INDUCTOR_TAIYOYUDEN_NRH2412T";"Inductors";"";"";
"L2";"VLC5045-6.8uH";"INDUCTORTDK_VLC5045";"INDUCTOR_5X5MM_TDK_VLC5045";"Inductors";"";"";
"LBO";"RED";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";"";
"LED1";"GREEN";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";"";
"LED2";"ORANGE";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";"";
"PWR";"BLUE";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED";"";"";
"Q1";"MMUN2133LT1G";"MUN2114T1-PNP_DRIVER-SC59-BEC";"SC59-BEC";"PNP Bias Resistor Transistor";"";"";
"Q2";"mmbt2222";"TRANSISTOR_NPNSOT23-3";"SOT23-3";"Transistor NPN";"";"";
"Q3";"mmbt2222";"TRANSISTOR_NPNSOT23-3";"SOT23-3";"Transistor NPN";"";"";
"Q4";"BSS138";"MOSFET-NCHANNELSMD";"SOT23-3";"";"";"";
"Q5";"BSS138";"MOSFET-NCHANNELSMD";"SOT23-3";"";"";"";
"R1";"100K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R2";"340K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R3";"1K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R4";"200K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R5";"1.87Mohm";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R6";"1.87Mohm";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R7";"1K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R8";"340K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R9";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R10";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R11";"5k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R12";"5k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R13";"1K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R14";"5.1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R15";"5.1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R16";"5.1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R17";"5.1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R18";"470";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R19";"1K";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R20";"2k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"R21";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";
"SW1";"KMR2";"SWITCH_TACT_SMT4.6X2.8";"BTN_KMR2_4.6X2.8";"SMT Tact Switches";"";"";
"U1";"LM3671MF-3.3/NOPB";"VREG_LM3671";"SOT23-5";"LM3671 - 600mA DC-DC Step-Down Converter";"";"";
"U2";"TPS61090RSAR";"VREG_TPS6103X";"PVQFN-16";"TPS6103x 4A Boost - 1.8-5.5V Input, Adjustable Output to 5.5V";"";"";
"U3";"AD5693R";"AD5693R";"MSOP10";"";"";"";
"U4";"MCP73831T-2ACI/OT";"MCP73831/2";"SOT23-5";"MCP73831/2 LIPO Charger";"";"";
"X1";"ESP32_WROOM32_SKINNY";"ESP32_WROOM32_SKINNY";"WROOM32_SKINNY";"";"";"";
